day,image,pull_count
2021-06-02,marquezproject/marquez-web,5190
2021-06-01,marquezproject/marquez,196887
2021-06-01,marquezproject/marquez-web,5164
2021-05-31,marquezproject/marquez,196577
2021-05-31,marquezproject/marquez-web,5128
2021-05-30,marquezproject/marquez,196270
2021-05-30,marquezproject/marquez-web,5101
2021-05-29,marquezproject/marquez,195966
2021-05-29,marquezproject/marquez-web,5076
2021-05-28,marquezproject/marquez,195604
2021-05-28,marquezproject/marquez-web,5029
2021-05-27,marquezproject/marquez,195259
2021-05-27,marquezproject/marquez-web,4966
2021-05-26,marquezproject/marquez,194927
2021-05-26,marquezproject/marquez-web,4924
2021-05-25,marquezproject/marquez,194562
2021-05-25,marquezproject/marquez-web,4851
2021-05-24,marquezproject/marquez,194229
2021-05-24,marquezproject/marquez-web,4773
2021-05-23,marquezproject/marquez,193907
2021-05-23,marquezproject/marquez-web,4733
2021-05-22,marquezproject/marquez,193542
2021-05-22,marquezproject/marquez-web,4696
2021-05-21,marquezproject/marquez,193173
2021-05-21,marquezproject/marquez-web,4625
2021-05-20,marquezproject/marquez,192844
2021-05-20,marquezproject/marquez-web,4577
2021-05-19,marquezproject/marquez,192525
2021-05-19,marquezproject/marquez-web,4518
2021-05-18,marquezproject/marquez,192211
2021-05-18,marquezproject/marquez-web,4459
2021-05-17,marquezproject/marquez,191902
2021-05-17,marquezproject/marquez-web,4412
2021-05-16,marquezproject/marquez,191605
2021-05-16,marquezproject/marquez-web,4379
2021-05-15,marquezproject/marquez,191306
2021-05-15,marquezproject/marquez-web,4350
2021-05-14,marquezproject/marquez,190944
2021-05-14,marquezproject/marquez-web,4295
2021-05-13,marquezproject/marquez,190629
2021-05-13,marquezproject/marquez-web,4242
2021-05-12,marquezproject/marquez,190313
2021-05-12,marquezproject/marquez-web,4202
2021-05-11,marquezproject/marquez,189987
2021-05-11,marquezproject/marquez-web,4167
2021-05-10,marquezproject/marquez,189633
2021-05-10,marquezproject/marquez-web,4106
2021-05-09,marquezproject/marquez,189330
2021-05-09,marquezproject/marquez-web,4088
2021-05-08,marquezproject/marquez,189024
2021-05-08,marquezproject/marquez-web,4060
2021-05-07,marquezproject/marquez,188634
2021-05-07,marquezproject/marquez-web,4008
2021-05-06,marquezproject/marquez,188281
2021-05-06,marquezproject/marquez-web,3956
2021-05-05,marquezproject/marquez,187943
2021-05-05,marquezproject/marquez-web,3909
2021-05-04,marquezproject/marquez,187626
2021-05-04,marquezproject/marquez-web,3883
2021-05-03,marquezproject/marquez,187327
2021-05-03,marquezproject/marquez-web,3865
2021-05-02,marquezproject/marquez,187028
2021-05-02,marquezproject/marquez-web,3847
2021-05-01,marquezproject/marquez,186724
2021-05-01,marquezproject/marquez-web,3826
2021-04-30,marquezproject/marquez,186342
2021-04-30,marquezproject/marquez-web,3789
2021-04-29,marquezproject/marquez,186018
2021-04-29,marquezproject/marquez-web,3759
2021-04-28,marquezproject/marquez,185704
2021-04-28,marquezproject/marquez-web,3741
2021-04-27,marquezproject/marquez,185395
2021-04-27,marquezproject/marquez-web,3718
2021-04-26,marquezproject/marquez,185071
2021-04-26,marquezproject/marquez-web,3677
2021-04-25,marquezproject/marquez,184767
2021-04-25,marquezproject/marquez-web,3661
2021-04-24,marquezproject/marquez,184469
2021-04-24,marquezproject/marquez-web,3645
2021-04-23,marquezproject/marquez,184106
2021-04-23,marquezproject/marquez-web,3614
2021-04-22,marquezproject/marquez,183784
2021-04-22,marquezproject/marquez-web,3592
2021-04-21,marquezproject/marquez,183468
2021-04-21,marquezproject/marquez-web,3569
2021-04-20,marquezproject/marquez,183117
2021-04-20,marquezproject/marquez-web,3525
2021-04-19,marquezproject/marquez,182764
2021-04-19,marquezproject/marquez-web,3470
2021-04-18,marquezproject/marquez,182455
2021-04-18,marquezproject/marquez-web,3457
2021-04-17,marquezproject/marquez,182149
2021-04-17,marquezproject/marquez-web,3439
2021-04-16,marquezproject/marquez,181744
2021-04-16,marquezproject/marquez-web,3366
2021-04-15,marquezproject/marquez,181393
2021-04-15,marquezproject/marquez-web,3307
2021-04-14,marquezproject/marquez,180991
2021-04-14,marquezproject/marquez-web,3235
2021-04-13,marquezproject/marquez,180650
2021-04-13,marquezproject/marquez-web,3185
2021-04-12,marquezproject/marquez,180338
2021-04-12,marquezproject/marquez-web,3160
2021-04-11,marquezproject/marquez,180041
2021-04-11,marquezproject/marquez-web,3142
2021-04-10,marquezproject/marquez,179745
2021-04-10,marquezproject/marquez-web,3123
2021-04-09,marquezproject/marquez,179385
2021-04-09,marquezproject/marquez-web,3090
2021-04-08,marquezproject/marquez,179065
2021-04-08,marquezproject/marquez-web,3062
2021-04-07,marquezproject/marquez,178757
2021-04-07,marquezproject/marquez-web,3038
2021-04-06,marquezproject/marquez,178436
2021-04-06,marquezproject/marquez-web,3007
2021-04-05,marquezproject/marquez,178114
2021-04-05,marquezproject/marquez-web,2961
2021-04-04,marquezproject/marquez,177816
2021-04-04,marquezproject/marquez-web,2938
2021-04-03,marquezproject/marquez,177520
2021-04-03,marquezproject/marquez-web,2920
